번호,TOP 1,TOP 2,BOTTOM 1,나를 표현하는 한마디,생활 속 성향과 행동
1,CP,NP,A,따뜻한 신념으로 사람을 이끄는 사람,"분명한 기준과 책임감을 가지고 살아가며, 사람을 챙기는 따뜻함도 함께 실천합니다. 
중요한 순간에는 서두르지 않고 차분하게 생각하면 판단의 균형이 좋아집니다."
2,CP,NP,FC,단단함 속에 온기를 품은 사람,"분명한 기준과 책임감을 가지고 살아가며, 사람을 챙기는 따뜻함도 함께 실천합니다.
즐거움과 감정을 조금 더 표현하면 일상의 활력과 만족감을 키우는 데 도움이 됩니다."
3,CP,NP,AC,따뜻한 소신으로 중심을 지키는 사람,"분명한 기준과 책임감을 가지고 살아가며, 사람을 챙기는 따뜻함도 함께 실천합니다. 
주변 의견을 한 번 더 살피면 선택의 폭과 협력의 가능성이 넓어집니다."
4,CP,A,NP,냉철한 판단으로 방향을 세우는 사람,"원칙과 기준을 세운 뒤 현실을 냉정하게 판단하며, 목표를 정하면 계획적으로 밀고 나갑니다.
따뜻한 말과 관심을 조금 더 표현하면 더욱 편하게 소통할 수 있습니다."
5,CP,A,FC,명확한 판단으로 길을 여는 사람,"원칙과 기준을 세운 뒤 현실을 냉정하게 판단하며, 목표를 정하면 계획적으로 밀고 나갑니다. 
즐거움과 감정을 조금 더 표현하면 일상의 활력과 만족감을 키우는 데 도움이 됩니다."
6,CP,A,AC,흔들림 없는 판단으로 앞서가는 사람,"원칙과 기준을 세운 뒤 현실을 냉정하게 판단하며, 목표를 정하면 계획적으로 밀고 나갑니다. 
주변 의견을 한 번 더 살피면 선택의 폭과 협력의 가능성이 넓어집니다."
7,CP,FC,NP,당당한 에너지로 사람을 이끄는 사람,"자기 기준을 분명히 세우고 하고 싶은 일에는 적극적으로 도전하며, 활력 있게 삶을 개척합니다. 
따뜻한 말과 관심을 조금 더 표현하면 더욱 편하게 소통할 수 있습니다."
8,CP,FC,A,열정과 추진력으로 길을 만드는 사람,"자기 기준을 분명히 세우고 하고 싶은 일에는 적극적으로 도전하며, 활력 있게 삶을 개척합니다. 
중요한 순간에는 서두르지 않고 차분하게 생각하면 판단의 균형이 좋아집니다."
9,CP,FC,AC,자유로운 열정으로 앞장서는 사람,"자기 기준을 분명히 세우고 하고 싶은 일에는 적극적으로 도전하며, 활력 있게 삶을 개척합니다. 
주변 의견을 한 번 더 살피면 선택의 폭과 협력의 가능성이 넓어집니다."
10,CP,AC,NP,상대를 살피며 중심을 지키는 사람,"주변 상황을 세심하게 살피면서도 중요한 순간에는 자신의 기준과 책임을 지키려 합니다. 
따뜻한 말과 관심을 조금 더 표현하면 더욱 편하게 소통할 수 있습니다."
11,CP,AC,A,흐름을 살피며 방향을 이끄는 사람,"주변 상황을 세심하게 살피면서도 중요한 순간에는 자신의 기준과 책임을 지키려 합니다. 
중요한 순간에는 서두르지 않고 차분하게 생각하면 판단의 균형이 좋아집니다."
12,CP,AC,FC,섬세한 결단으로 중심을 잡는 사람,"주변 상황을 세심하게 살피면서도 중요한 순간에는 자신의 기준과 책임을 지키려 합니다. 
즐거움과 감정을 조금 더 표현하면 일상의 활력과 만족감을 키우는 데 도움이 됩니다."
13,NP,CP,A,따뜻함에 단단한 중심을 가진 사람,"사람과 삶의 가치를 소중히 여기며, 맡은 일에는 책임감을 갖고 꾸준히 해내려 합니다. 
중요한 순간에는 서두르지 않고 차분하게 생각하면 판단의 균형이 좋아집니다."
14,NP,CP,FC,온기와 책임으로 신뢰를 만드는 사람,"사람과 삶의 가치를 소중히 여기며, 맡은 일에는 책임감을 갖고 꾸준히 해내려 합니다. 
즐거움과 감정을 조금 더 표현하면 일상의 활력과 만족감을 키우는 데 도움이 됩니다."
15,NP,CP,AC,사람을 품으며 소신을 지키는 사람,"사람과 삶의 가치를 소중히 여기며, 맡은 일에는 책임감을 갖고 꾸준히 해내려 합니다. 
주변 의견을 한 번 더 살피면 선택의 폭과 협력의 가능성이 넓어집니다."
16,NP,A,CP,이해와 지혜로 마음을 연결하는 사람,"사람의 마음과 현실적인 조건을 함께 살피며, 모두에게 도움이 되는 방향을 차분히 찾습니다. 
해야 할 일이 생기면 망설이지 않고 방향을 정해 꾸준히 실행하면 추진력이 더욱 좋아집니다."
17,NP,A,FC,차분한 온기로 신뢰를 쌓는 사람,"사람의 마음과 현실적인 조건을 함께 살피며, 모두에게 도움이 되는 방향을 차분히 찾습니다. 
즐거움과 감정을 조금 더 표현하면 일상의 활력과 만족감을 키우는 데 도움이 됩니다."
18,NP,A,AC,깊은 이해로 사람을 바라보는 사람,"사람의 마음과 현실적인 조건을 함께 살피며, 모두에게 도움이 되는 방향을 차분히 찾습니다. 
주변 의견을 한 번 더 살피면 선택의 폭과 협력의 가능성이 넓어집니다."
19,NP,FC,CP,따뜻한 친화력으로 마음을 여는 사람,"사람과의 교류에서 기쁨을 얻고, 따뜻한 마음과 긍정적인 표현으로 일상을 풍성하게 만듭니다. 
해야 할 일이 생기면 망설이지 않고 방향을 정해 꾸준히 실행하면 추진력이 더욱 좋아집니다."
